,,,,,
Year,State,Pounds,Metric Tons,Dollars,Collection
1950,NORTH CAROLINA,"124,904,900","56,656","1,221,468",Commercial
1951,NORTH CAROLINA,"104,012,900","47,180","978,562",Commercial
1952,NORTH CAROLINA,"191,341,300","86,792","1,626,501",Commercial
1953,NORTH CAROLINA,"132,104,700","59,922","1,387,098",Commercial
1954,NORTH CAROLINA,"160,301,000","72,712","2,067,883",Commercial
1955,NORTH CAROLINA,"184,918,700","83,879","2,292,993",Commercial
1956,NORTH CAROLINA,"246,647,900","111,879","3,379,080",Commercial
1957,NORTH CAROLINA,"172,522,300","78,256","2,380,826",Commercial
1958,NORTH CAROLINA,"235,384,500","106,770","3,483,690",Commercial
1959,NORTH CAROLINA,"279,887,800","126,956","3,246,699",Commercial
1960,NORTH CAROLINA,"190,431,300","86,379","1,980,480",Commercial
1961,NORTH CAROLINA,"221,555,400","100,497","2,414,953",Commercial
1962,NORTH CAROLINA,"122,898,100","55,746","1,364,169",Commercial
1963,NORTH CAROLINA,"190,213,800","86,280","2,326,005",Commercial
1964,NORTH CAROLINA,"172,991,700","78,469","2,248,892",Commercial
1965,NORTH CAROLINA,"160,595,300","72,846","2,072,174",Commercial
1966,NORTH CAROLINA,"182,288,900","82,686","2,537,808",Commercial
1967,NORTH CAROLINA,"150,480,700","68,258","1,693,735",Commercial
1968,NORTH CAROLINA,"167,189,100","75,836","1,957,865",Commercial
1969,NORTH CAROLINA,"145,235,000","65,878","2,227,738",Commercial
1970,NORTH CAROLINA,"108,235,200","49,095","1,570,489",Commercial
1971,NORTH CAROLINA,"79,488,200","36,056","1,116,093",Commercial
1972,NORTH CAROLINA,"84,692,100","38,416","1,219,329",Commercial
1973,NORTH CAROLINA,"66,943,000","30,365","2,539,604",Commercial
1974,NORTH CAROLINA,"121,197,700","54,975","2,886,563",Commercial
1975,NORTH CAROLINA,"153,805,200","69,766","3,258,977",Commercial
1976,NORTH CAROLINA,"134,902,400","61,191","4,534,354",Commercial
1977,NORTH CAROLINA,"158,119,300","71,722","4,369,012",Commercial
1978,NORTH CAROLINA,"192,324,170","87,238","7,498,037",Commercial
1979,NORTH CAROLINA,"254,329,990","115,363","8,059,572",Commercial
1980,NORTH CAROLINA,"196,920,370","89,322","7,139,327",Commercial
1981,NORTH CAROLINA,"309,414,710","140,350","10,038,759",Commercial
1982,NORTH CAROLINA,"187,015,090","84,829","5,773,042",Commercial
1983,NORTH CAROLINA,"177,973,440","80,728","6,167,878",Commercial
1984,NORTH CAROLINA,"157,667,480","71,517","4,745,831",Commercial
1985,NORTH CAROLINA,"97,738,403","44,334","2,330,061",Commercial
1986,NORTH CAROLINA,"66,378,260","30,109","1,591,037",Commercial
1987,NORTH CAROLINA,"55,498,571","25,174","1,624,511",Commercial
1988,NORTH CAROLINA,"73,715,713","33,437","2,566,832",Commercial
1989,NORTH CAROLINA,"66,756,288","30,280","1,808,906",Commercial
1990,NORTH CAROLINA,"72,231,989","32,764","1,820,654",Commercial
1991,NORTH CAROLINA,"110,528,754","50,136","3,002,829",Commercial
1992,NORTH CAROLINA,"57,515,712","26,089","1,744,030",Commercial
1993,NORTH CAROLINA,"64,711,384","29,353","1,954,299",Commercial
1994,NORTH CAROLINA,"73,853,902","33,500","3,178,612",Commercial
1995,NORTH CAROLINA,"58,374,080","26,478","3,560,966",Commercial
1996,NORTH CAROLINA,"53,850,944","24,427","4,858,478",Commercial
1997,NORTH CAROLINA,"97,727,058","44,329","8,794,213",Commercial
1998,NORTH CAROLINA,"57,976,455","26,298","4,121,666",Commercial
1999,NORTH CAROLINA,"42,799,082","19,414","2,680,644",Commercial
2000,NORTH CAROLINA,"56,280,111","25,528","3,495,747",Commercial
2001,NORTH CAROLINA,"56,012,398","25,407","4,551,444",Commercial
2002,NORTH CAROLINA,"69,190,601","31,385","5,045,423",Commercial
2003,NORTH CAROLINA,"48,936,503","22,197","1,748,071",Commercial
2004,NORTH CAROLINA,"50,577,982","22,942","4,535,531",Commercial
2005,NORTH CAROLINA,"13,386,247","6,072","1,223,030",Commercial
2006,NORTH CAROLINA,"962,647",437,"147,795",Commercial
2007,NORTH CAROLINA,"1,134,208",514,"140,995",Commercial
2008,NORTH CAROLINA,"645,231",293,"67,718",Commercial
2009,NORTH CAROLINA,"2,124,734",964,"233,804",Commercial
2010,NORTH CAROLINA,"1,299,150",589,"105,479",Commercial
2011,NORTH CAROLINA,"3,530,003","1,601","328,746",Commercial
2012,NORTH CAROLINA,"538,792",244,"82,363",Commercial
2013,NORTH CAROLINA,"454,206",206,"74,991",Commercial
2014,NORTH CAROLINA,"917,905",416,"148,678",Commercial
2015,NORTH CAROLINA,"898,322",407,"154,385",Commercial
2016,NORTH CAROLINA,"398,044",181,"76,863",Commercial
2017,NORTH CAROLINA,"752,799",341,"160,181",Commercial
2018,NORTH CAROLINA,"713,978",324,"175,007",Commercial
2019,NORTH CAROLINA,"551,849",250,"138,037",Commercial
2020,NORTH CAROLINA,"599,742",272,"123,443",Commercial
2021,NORTH CAROLINA,"430,623",195,"116,007",Commercial
2022,NORTH CAROLINA,"539,499",245,"166,501",Commercial
2023,NORTH CAROLINA,"619,374",281,"166,470",Commercial
2024,NORTH CAROLINA,"359,167",163,"96,243",Commercial
